name,alpha,beta,gamma,deathRate
measles,0.0909,1.7647,0.1176,0.0037
chickenpox,0.0645,1.4667,0.1333,0.00002
mumps,0.0588,1.2941,0.1176,0.0001
polio,0.0769,0.2857,0.0476,0.0007
rubella,0.0714,2,0.3333,0.0012
pertussis,0.0769,0.1672,0.0286,0.0072
COVID-19,0.2,0.4341,0.087,0.0059
smallpox,0.0714,0.169,0.0357,0.0107
AIDS,0.0476,0.004,0.001,0.001
SARS,0.2,0.3318,0.0909,0.0086
diphtheria,0.2857,0.2143,0.0714,0.0328
Spanish flu,0.4,0.3,0.1429,0.0143
Ebola,0.087,0.1478,0.087,0.05
MERS,0.125,0.1786,0.0714,0.025
malaria,0.08,0.1286,0.0714,0.0001